Entity,Code,Year,total_private_investment_by_focus_area_inflation_adjusted
Agricultural tech,,2017,413050561
Agricultural tech,,2018,276319067
Agricultural tech,,2019,453040870
Agricultural tech,,2020,674825903
Agricultural tech,,2021,1428772088
Audiovisual,,2017,1112648713
Audiovisual,,2018,3729205073
Audiovisual,,2019,2800363095
Audiovisual,,2020,3559200335
Audiovisual,,2021,8094824175
Augmented reality/virtual reality,,2017,280579339
Augmented reality/virtual reality,,2018,364987148
Augmented reality/virtual reality,,2019,2170410532
Augmented reality/virtual reality,,2020,578424966
Augmented reality/virtual reality,,2021,1264948880
"Cybersecurity, data protection",,2017,677722089
"Cybersecurity, data protection",,2018,1259591338
"Cybersecurity, data protection",,2019,1210940293
"Cybersecurity, data protection",,2020,1817048861
"Cybersecurity, data protection",,2021,2645209666
"Data management, processing, cloud",,2017,2560222567
"Data management, processing, cloud",,2018,3165071484
"Data management, processing, cloud",,2019,5091212853
"Data management, processing, cloud",,2020,4907993211
"Data management, processing, cloud",,2021,12167417279
Drones,,2017,119470692
Drones,,2018,771199196
Drones,,2019,206901715
Drones,,2020,431262467
Drones,,2021,2477475661
Educational tech,,2017,1215659420
Educational tech,,2018,2126853165
Educational tech,,2019,822607051
Educational tech,,2020,3214623228
Educational tech,,2021,1242150888
"Energy, oil, and gas",,2017,1907559596
"Energy, oil, and gas",,2018,945918283
"Energy, oil, and gas",,2019,1307949770
"Energy, oil, and gas",,2020,1259531007
"Energy, oil, and gas",,2021,2779850136
Entertainment,,2017,123171687
Entertainment,,2018,144571561
Entertainment,,2019,133343185
Entertainment,,2020,247701597
Entertainment,,2021,706492233
Facial recognition,,2017,1007701977
Facial recognition,,2018,2308159467
Facial recognition,,2019,1539816617
Facial recognition,,2020,1160386693
Facial recognition,,2021,1874072234
Financial tech,,2017,1971567716
Financial tech,,2018,3694614237
Financial tech,,2019,6645871830
Financial tech,,2020,3332188365
Financial tech,,2021,10259479432
Fitness and wellness,,2017,332897082
Fitness and wellness,,2018,983379500
Fitness and wellness,,2019,1379132660
Fitness and wellness,,2020,2799604110
Fitness and wellness,,2021,5561635501
Geospatial,,2017,248700649
Geospatial,,2018,340414147
Geospatial,,2019,272379018
Geospatial,,2020,103095297
Geospatial,,2021,925033928
Human resources tech,,2017,270261239
Human resources tech,,2018,391468837
Human resources tech,,2019,756531155
Human resources tech,,2020,803417385
Human resources tech,,2021,2180100559
"Industrial automation, network",,2017,3334830936
"Industrial automation, network",,2018,5032348830
"Industrial automation, network",,2019,1989185980
"Industrial automation, network",,2020,3789852916
"Industrial automation, network",,2021,5853281183
Insurance tech,,2017,103922198
Insurance tech,,2018,517534935
Insurance tech,,2019,441588166
Insurance tech,,2020,553568169
Insurance tech,,2021,1771675486
Legal tech,,2017,249074336
Legal tech,,2018,409965400
Legal tech,,2019,613004126
Legal tech,,2020,553121034
Legal tech,,2021,906124540
"Marketing, digital ads",,2017,931135803
"Marketing, digital ads",,2018,1372551717
"Marketing, digital ads",,2019,1784476415
"Marketing, digital ads",,2020,1137514912
"Marketing, digital ads",,2021,2313249674
Medical and healthcare,,2017,3196144826
Medical and healthcare,,2018,3008051031
Medical and healthcare,,2019,4121913999
Medical and healthcare,,2020,8437719455
Medical and healthcare,,2021,11290055324
"Music, video content",,2017,213979915
"Music, video content",,2018,392297549
"Music, video content",,2019,167599416
"Music, video content",,2020,150910662
"Music, video content",,2021,472245294
"Natural language, customer support",,2017,848459791
"Natural language, customer support",,2018,1120414649
"Natural language, customer support",,2019,1090555526
"Natural language, customer support",,2020,1683721629
"Natural language, customer support",,2021,4005563433
Retail,,2017,2755008678
Retail,,2018,3298362346
Retail,,2019,7697852812
Retail,,2020,3562019786
Retail,,2021,5740676995
Sales enablement,,2017,490864088
Sales enablement,,2018,556575543
Sales enablement,,2019,504768523
Sales enablement,,2020,866822766
Sales enablement,,2021,1280934590
Semiconductor,,2017,779258431
Semiconductor,,2018,1319192644
Semiconductor,,2019,1795123201
Semiconductor,,2020,2388302925
Semiconductor,,2021,6003831097
Total,,2017,25326289602
Total,,2018,38045072739
Total,,2019,45122475977
Total,,2020,48163801731
Total,,2021,93535757202
Venture capital,,2017,182397274
Venture capital,,2018,516025592
Venture capital,,2019,125907170
Venture capital,,2020,150944051
Venture capital,,2021,290656926
