#,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance,Year
1,Paris Saint-Germain,Ligue 1,€151.00m,11,€4.75m,15,€-146.25m,2012
2,Chelsea FC,Premier League,€109.70m,29,€25.45m,28,€-84.25m,2012
3,Zenit St. Petersburg,Premier Liga,€88.76m,9,€1.75m,8,€-87.01m,2012
4,FC Internazionale,Serie A,€76.55m,48,€63.30m,45,€-13.25m,2012
5,Manchester United,Premier League,€76.45m,18,€9.65m,15,€-66.80m,2012
6,Tottenham Hotspur,Premier League,€73.25m,30,€72.78m,34,€-470k,2012
7,Juventus FC,Serie A,€72.80m,47,€23.30m,43,€-49.50m,2012
8,Liverpool FC,Premier League,€70.60m,19,€10.45m,18,€-60.15m,2012
9,Bayern Munich,Bundesliga,€70.30m,10,€500k,7,€-69.80m,2012
10,Anzhi Makhachkala ( -2022),Premier Liga,€67.90m,13,€16.00m,16,€-51.90m,2012
11,Manchester City,Premier League,€61.95m,24,€44.30m,26,€-17.65m,2012
12,AC Milan,Serie A,€59.60m,44,€88.50m,53,€28.90m,2012
13,Arsenal FC,Premier League,€56.00m,18,€65.85m,19,€9.85m,2012
14,Queens Park Rangers,Premier League,€50.35m,38,€4.51m,46,€-45.84m,2012
15,AS Roma,Serie A,€44.17m,46,€21.56m,45,€-22.60m,2012
16,Southampton FC,Premier League,€41.50m,29,-,25,€-41.50m,2012
17,Dynamo Kyiv,Premier Liga,€40.78m,16,€9.30m,20,€-31.48m,2012
18,ACF Fiorentina,Serie A,€40.77m,38,€33.40m,39,€-7.37m,2012
19,Sport Club Corinthians Paulista,Série A,€39.33m,45,€21.01m,49,€-18.32m,2012
20,Real Madrid,LaLiga,€38.50m,8,€33.50m,8,€-5.00m,2012
21,Sunderland AFC,Premier League,€38.30m,26,€14.83m,30,€-23.48m,2012
22,Fenerbahce,Süper Lig,€33.90m,13,€4.00m,12,€-29.90m,2012
23,Borussia Mönchengladbach,Bundesliga,€33.40m,13,€24.05m,12,€-9.35m,2012
24,FC Barcelona,LaLiga,€33.00m,7,€500k,5,€-32.50m,2012
25,Spartak Moscow,Premier Liga,€32.20m,15,€5.60m,13,€-26.60m,2012
26,Galatasaray,Süper Lig,€32.05m,19,€3.89m,19,€-28.16m,2012
27,Rubin Kazan,Premier Liga,€32.00m,17,€4.50m,16,€-27.50m,2012
28,Newcastle United,Premier League,€31.97m,21,€14.80m,19,€-17.17m,2012
29,Udinese Calcio,Serie A,€31.40m,52,€60.95m,57,€29.55m,2012
30,SSC Napoli,Serie A,€31.05m,29,€34.85m,28,€3.80m,2012
31,Parma FC,Serie A,€29.95m,110,€19.55m,105,€-10.40m,2012
32,SL Benfica,Liga Portugal,€29.00m,39,€75.73m,38,€46.73m,2012
33,Aston Villa,Premier League,€27.83m,18,€3.20m,12,€-24.63m,2012
34,VfL Wolfsburg,Bundesliga,€27.10m,21,€21.85m,28,€-5.25m,2012
35,Hamburger SV,Bundesliga,€27.00m,11,€9.60m,17,€-17.40m,2012
36,Genoa CFC,Serie A,€26.93m,74,€78.25m,72,€51.32m,2012
37,Borussia Dortmund,Bundesliga,€26.65m,12,€34.00m,12,€7.35m,2012
38,TSG 1899 Hoffenheim,Bundesliga,€26.30m,28,€20.25m,21,€-6.05m,2012
39,US Palermo,Serie A,€26.00m,43,€24.18m,44,€-1.83m,2012
40,Torino FC,Serie A,€24.98m,29,€4.38m,32,€-20.60m,2012
41,AS Monaco,Ligue 2,€24.65m,25,€3.50m,30,€-21.15m,2012
42,Shakhtar Donetsk,Premier Liga,€24.24m,14,€38.50m,16,€14.26m,2012
43,West Ham United,Premier League,€23.90m,24,€5.05m,28,€-18.85m,2012
44,Stoke City,Premier League,€23.68m,23,€640k,24,€-23.04m,2012
45,Valencia CF,LaLiga,€23.20m,10,€30.00m,14,€6.80m,2012
46,CSKA Moscow,Premier Liga,€22.70m,8,-,8,€-22.70m,2012
47,Guangzhou Evergrande,Super League,€22.50m,17,€1.44m,17,€-21.06m,2012
48,LOSC Lille,Ligue 1,€22.50m,13,€41.20m,17,€18.70m,2012
49,Everton FC,Premier League,€21.65m,12,€18.75m,13,€-2.90m,2012
50,UC Sampdoria,Serie A,€21.00m,48,€6.10m,47,€-14.90m,2012
1,Real Madrid,LaLiga,€175.50m,10,€113.50m,10,€-62.00m,2013
2,AS Monaco,Ligue 1,€160.70m,28,€5.55m,30,€-155.15m,2013
3,Paris Saint-Germain,Ligue 1,€135.90m,18,€26.50m,17,€-109.40m,2013
4,Chelsea FC,Premier League,€130.35m,38,€77.93m,36,€-52.42m,2013
5,Tottenham Hotspur,Premier League,€122.55m,30,€138.40m,28,€15.85m,2013
6,Manchester City,Premier League,€115.50m,16,€11.30m,18,€-104.20m,2013
7,SSC Napoli,Serie A,€107.45m,40,€74.20m,39,€-33.25m,2013
8,FC Barcelona,LaLiga,€101.00m,9,€28.10m,7,€-72.90m,2013
9,Manchester United,Premier League,€77.13m,18,€1.80m,20,€-75.33m,2013
10,AS Roma,Serie A,€75.39m,44,€121.39m,49,€46.00m,2013
11,Shakhtar Donetsk,Premier Liga,€71.00m,18,€67.50m,17,€-3.50m,2013
12,Dinamo Moscow,Premier Liga,€67.90m,23,€19.00m,21,€-48.90m,2013
13,Bayern Munich,Bundesliga,€62.00m,8,€40.00m,7,€-22.00m,2013
14,Anzhi Makhachkala ( -2022),Premier Liga,€60.40m,32,€157.85m,28,€97.45m,2013
15,FC Internazionale,Serie A,€59.89m,39,€11.00m,42,€-48.89m,2013
16,Liverpool FC,Premier League,€58.10m,18,€32.50m,23,€-25.60m,2013
17,SL Benfica,Liga Portugal,€55.75m,29,€45.70m,31,€-10.05m,2013
18,ACF Fiorentina,Serie A,€53.30m,31,€41.00m,32,€-12.30m,2013
19,Borussia Dortmund,Bundesliga,€52.60m,13,€47.38m,11,€-5.23m,2013
