Club,Expenditure,Arrivals,Income,Departures,Balance,Year
Chelsea FC,€170.00m,24,€950k,22,€-169.05m,2003
Manchester United,€56.53m,23,€59.30m,28,€2.78m,2003
Tottenham Hotspur,€29.75m,17,€1.75m,22,€-28.00m,2003
Arsenal FC,€27.42m,18,€1.05m,22,€-26.37m,2003
Blackburn Rovers,€22.34m,23,€34.85m,30,€12.51m,2003
Birmingham City,€17.10m,16,€1.95m,27,€-15.15m,2003
Liverpool FC,€15.65m,19,-,13,€-15.65m,2003
Manchester City,€14.26m,21,€6.62m,23,€-7.64m,2003
Portsmouth FC,€11.78m,37,€200k,37,€-11.58m,2003
Middlesbrough FC,€10.20m,27,€1.13m,29,€-9.08m,2003
Everton FC,€9.92m,17,€975k,19,€-8.94m,2003
Wolverhampton Wanderers,€9.88m,27,€1.15m,20,€-8.73m,2003
Southampton FC,€8.98m,20,€10.88m,20,€1.90m,2003
Fulham FC,€8.48m,32,€25.04m,26,€16.56m,2003
Aston Villa,€8.38m,19,€290k,29,€-8.09m,2003
Charlton Athletic,€1.50m,19,€15.00m,17,€13.50m,2003
Leicester City,€1.14m,30,-,29,€-1.14m,2003
Bolton Wanderers,€750k,27,€75k,29,€-675k,2003
Leeds United,€100k,26,€16.83m,31,€16.73m,2003
Newcastle United,-,15,€5.00m,22,€5.00m,2003
Chelsea FC,€162.40m,21,€3.30m,25,€-159.10m,2004
Manchester United,€61.25m,20,€9.57m,19,€-51.69m,2004
Liverpool FC,€58.40m,22,€24.57m,23,€-33.83m,2004
Tottenham Hotspur,€47.13m,37,€10.50m,34,€-36.63m,2004
Newcastle United,€29.45m,17,€22.28m,19,€-7.18m,2004
West Bromwich Albion,€15.85m,18,€1.95m,24,€-13.90m,2004
Birmingham City,€15.77m,28,€8.15m,21,€-7.62m,2004
Fulham FC,€13.95m,23,€5.20m,22,€-8.75m,2004
Charlton Athletic,€13.25m,17,€1.95m,19,€-11.30m,2004
Southampton FC,€12.68m,34,€11.50m,32,€-1.18m,2004
Arsenal FC,€12.48m,22,€3.90m,19,€-8.58m,2004
Everton FC,€11.88m,9,€45.40m,17,€33.53m,2004
Portsmouth FC,€10.85m,27,€6.60m,36,€-4.25m,2004
Aston Villa,€10.14m,14,€3.43m,17,€-6.72m,2004
Norwich City,€8.53m,18,€450k,15,€-8.08m,2004
Blackburn Rovers,€7.88m,21,€7.70m,21,€-175k,2004
Middlesbrough FC,€6.75m,21,€3.45m,22,€-3.30m,2004
Crystal Palace,€5.15m,18,€100k,15,€-5.05m,2004
Manchester City,€1.50m,17,€7.94m,19,€6.44m,2004
Bolton Wanderers,€1.38m,24,€375k,26,€-1.00m,2004
Chelsea FC,€91.50m,15,€34.60m,18,€-56.90m,2005
Newcastle United,€61.75m,16,€30.90m,16,€-30.85m,2005
Arsenal FC,€46.00m,17,€25.00m,18,€-21.00m,2005
Liverpool FC,€44.06m,26,€19.04m,26,€-25.02m,2005
Tottenham Hotspur,€36.51m,25,€25.45m,25,€-11.06m,2005
Everton FC,€32.53m,16,€7.00m,13,€-25.53m,2005
Manchester United,€31.80m,24,€7.90m,27,€-23.90m,2005
West Ham United,€21.59m,32,€550k,30,€-21.04m,2005
Portsmouth FC,€18.78m,39,€12.15m,35,€-6.63m,2005
Aston Villa,€16.54m,16,€6.40m,15,€-10.14m,2005
Wigan Athletic,€15.77m,17,€5.63m,18,€-10.15m,2005
West Bromwich Albion,€15.30m,16,€9.08m,17,€-6.23m,2005
Middlesbrough FC,€13.96m,18,-,12,€-13.96m,2005
Manchester City,€12.48m,13,€32.50m,12,€20.03m,2005
Blackburn Rovers,€9.40m,23,€2.70m,25,€-6.70m,2005
Charlton Athletic,€9.10m,31,€5.71m,22,€-3.39m,2005
Birmingham City,€8.10m,31,€7.95m,27,€-150k,2005
Fulham FC,€6.55m,24,€4.63m,24,€-1.93m,2005
Bolton Wanderers,€6.20m,14,-,15,€-6.20m,2005
Sunderland AFC,€5.93m,24,€1.43m,25,€-4.50m,2005
Chelsea FC,€88.98m,18,€52.60m,17,€-36.38m,2006
West Ham United,€69.85m,22,€6.75m,22,€-63.10m,2006
Tottenham Hotspur,€61.00m,19,€38.65m,22,€-22.35m,2006
Liverpool FC,€46.00m,27,€24.73m,27,€-21.28m,2006
Newcastle United,€31.88m,11,€11.18m,13,€-20.70m,2006
Wigan Athletic,€29.38m,23,€24.33m,24,€-5.05m,2006
Manchester United,€27.20m,23,€18.00m,26,€-9.20m,2006
Aston Villa,€24.70m,18,€1.83m,16,€-22.88m,2006
Charlton Athletic,€21.65m,33,€2.28m,35,€-19.38m,2006
Sheffield United,€18.03m,39,€3.33m,37,€-14.70m,2006
Blackburn Rovers,€17.98m,27,€16.91m,24,€-1.07m,2006
Everton FC,€17.90m,13,€2.50m,15,€-15.40m,2006
Bolton Wanderers,€17.00m,20,€3.85m,16,€-13.15m,2006
Arsenal FC,€15.00m,15,€12.93m,18,€-2.08m,2006
Fulham FC,€13.80m,19,€10.52m,23,€-3.29m,2006
Middlesbrough FC,€11.30m,21,€4.68m,23,€-6.63m,2006
Watford FC,€10.48m,32,€13.50m,21,€3.03m,2006
Reading FC,€9.23m,27,-,17,€-9.23m,2006
Portsmouth FC,€9.10m,28,€1.25m,31,€-7.85m,2006
Manchester City,€6.50m,20,€4.20m,22,€-2.30m,2006
Manchester United,€106.50m,25,€46.60m,22,€-59.90m,2007
Tottenham Hotspur,€94.15m,26,€22.55m,21,€-71.60m,2007
Liverpool FC,€90.70m,26,€46.75m,26,€-43.95m,2007
Manchester City,€77.95m,31,€10.56m,26,€-67.39m,2007
Sunderland AFC,€64.32m,31,€3.20m,21,€-61.12m,2007
Chelsea FC,€59.00m,20,€43.65m,16,€-15.35m,2007
Portsmouth FC,€58.64m,27,€23.38m,25,€-35.27m,2007
Middlesbrough FC,€50.60m,21,€30.23m,23,€-20.38m,2007
Fulham FC,€50.43m,38,€19.50m,27,€-30.93m,2007
West Ham United,€47.15m,18,€42.00m,17,€-5.15m,2007
Newcastle United,€37.85m,19,€31.70m,17,€-6.15m,2007
